PID,ID,app_dt,target,Org_class_new,Org_new,perf_type,mob,threshold_dpd,observe_month,sample_flag,channel_new,ind
10000000,1,20240522,0,Rate24,零钱罐,dpd,12,60,12,mob12_dpd60,小程序,零钱罐#mob12_dpd60#小程序
10000000,1,20240522,0,Bank,微众银行,dpd,12,30,12,mob12_dpd30,api,微众银行#mob12_dpd30#api
10000000,2,20250919,0,Bank,百信银行,dpd,9,60,9,mob9_dpd60,京东白条,百信银行#mob9_dpd60#京东白条
10000001,3,20250627,0,Rate36,拍拍贷,dpd,3,30,3,mob3_dpd30,h5,拍拍贷#mob3_dpd30#h5
10000001,4,20250127,0,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000001,4,20250127,0,Bank,微众银行,dpd,3,30,3,mob3_dpd30,api,微众银行#mob3_dpd30#api
10000001,5,20250120,0,Rate36,美团月付,dpd,3,60,3,mob3_dpd60,api,美团月付#mob3_dpd60#api
10000001,5,20250120,0,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000002,6,20251111,0,Bank,百信银行,fpd,,60,,fpd60,京东白条,百信银行#fpd60#京东白条
10000002,6,20251111,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000002,6,20251111,0,Rate24,分期乐,dpd,9,30,9,mob9_dpd30,api,分期乐#mob9_dpd30#api
10000002,7,20240517,1,Rate24,零钱罐,fpd,,30,,fpd30,小程序,零钱罐#fpd30#小程序
10000002,8,20250712,0,Bank,百信银行,dpd,12,30,12,mob12_dpd30,api,百信银行#mob12_dpd30#api
10000002,8,20250712,0,Rate24,零钱罐,fpd,,60,,fpd60,api,零钱罐#fpd60#api
10000003,9,20240718,0,Bank,微众银行,dpd,3,60,3,mob3_dpd60,京东白条,微众银行#mob3_dpd60#京东白条
10000003,10,20240523,0,Rate24,零钱罐,dpd,9,60,9,mob9_dpd60,小程序,零钱罐#mob9_dpd60#小程序
10000003,11,20250311,1,Bank,微众银行,dpd,9,60,9,mob9_dpd60,京东白条,微众银行#mob9_dpd60#京东白条
10000003,11,20250311,-2,Bank,百信银行,dpd,12,60,12,mob12_dpd60,api,百信银行#mob12_dpd60#api
10000003,11,20250311,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,小程序,分期乐#mob6_dpd30#小程序
10000004,12,20260215,0,Rate24,分期乐,dpd,12,60,12,mob12_dpd60,小程序,分期乐#mob12_dpd60#小程序
10000004,12,20260215,0,Rate36,拍拍贷,dpd,3,30,3,mob3_dpd30,api,拍拍贷#mob3_dpd30#api
10000004,13,20250802,1,Rate36,拍拍贷,dpd,9,30,9,mob9_dpd30,api,拍拍贷#mob9_dpd30#api
10000004,13,20250802,0,Rate24,零钱罐,dpd,12,30,12,mob12_dpd30,api,零钱罐#mob12_dpd30#api
10000004,14,20250921,0,Bank,百信银行,dpd,12,30,12,mob12_dpd30,api,百信银行#mob12_dpd30#api
10000004,14,20250921,0,Rate24,零钱罐,fpd,,60,,fpd60,api,零钱罐#fpd60#api
10000005,15,20250814,0,Bank,百信银行,dpd,12,60,12,mob12_dpd60,京东白条,百信银行#mob12_dpd60#京东白条
10000005,15,20250814,1,Rate36,美团月付,fpd,,30,,fpd30,api,美团月付#fpd30#api
10000005,15,20250814,0,Rate36,美团月付,dpd,12,30,12,mob12_dpd30,api,美团月付#mob12_dpd30#api
10000005,16,20250913,1,Bank,百信银行,dpd,6,60,6,mob6_dpd60,api,百信银行#mob6_dpd60#api
